mof_name,temperature,pressure,h2_fraction,ch4_fraction,num_atoms,h2_molecules,ch4_molecules,total_molecules,selectivity,framework_density_g_cm3,accessible_surface_area_m2_g,void_fraction,accessible_volume_cm3_g,largest_included_sphere_diameter_angstrom,largest_free_sphere_diameter_angstrom,pore_limiting_diameter_angstrom
MOF_0485,298,35,0.75,0.25,272,39,16,55,0.8125,0.935691,2761.59,0.23256,0.248531,6.28692,5.28447,5.75274
MOF_0485,298,25,0.65,0.35,272,37,17,54,1.171945701357466,0.935691,2761.59,0.23256,0.248531,6.28692,5.28447,5.75274
MOF_0496,298,60,0.98,0.02,632,136,71,207,0.0390916930152342,0.546775,3669.76,0.50588,0.925208,11.44889,9.53551,11.42488
MOF_0496,298,50,0.9,0.1,632,134,74,208,0.2012012012012012,0.546775,3669.76,0.50588,0.925208,11.44889,9.53551,11.42488
MOF_0496,298,35,0.75,0.25,632,135,74,209,0.6081081081081081,0.546775,3669.76,0.50588,0.925208,11.44889,9.53551,11.42488
MOF_0496,298,25,0.65,0.35,632,134,73,207,0.98840885142255,0.546775,3669.76,0.50588,0.925208,11.44889,9.53551,11.42488
MOF_0503,298,60,0.98,0.02,356,14,1,15,0.2857142857142857,1.290577,648.86,0.03582,0.027755,4.84708,2.74228,4.48751
MOF_0503,298,50,0.9,0.1,356,12,1,13,1.3333333333333337,1.290577,648.86,0.03582,0.027755,4.84708,2.74228,4.48751
MOF_0503,298,35,0.75,0.25,356,11,1,12,3.6666666666666665,1.290577,648.86,0.03582,0.027755,4.84708,2.74228,4.48751
MOF_0506,298,60,0.98,0.02,536,91,37,128,0.0501930501930502,0.629989,3832.06,0.38918,0.617757,10.15182,6.62022,10.15037
MOF_0506,298,50,0.9,0.1,536,93,37,130,0.2792792792792793,0.629989,3832.06,0.38918,0.617757,10.15182,6.62022,10.15037
MOF_0506,298,35,0.75,0.25,536,89,39,128,0.7606837606837606,0.629989,3832.06,0.38918,0.617757,10.15182,6.62022,10.15037
MOF_0506,298,25,0.65,0.35,536,91,37,128,1.3243243243243243,0.629989,3832.06,0.38918,0.617757,10.15182,6.62022,10.15037
MOF_0531,298,60,0.98,0.02,852,150,91,241,0.0336398295581969,0.494209,4492.1,0.53572,1.08396,19.35863,7.23576,19.35863
MOF_0531,298,50,0.9,0.1,852,149,92,241,0.179951690821256,0.494209,4492.1,0.53572,1.08396,19.35863,7.23576,19.35863
MOF_0531,298,35,0.75,0.25,852,148,91,239,0.5421245421245421,0.494209,4492.1,0.53572,1.08396,19.35863,7.23576,19.35863
MOF_0531,298,25,0.65,0.35,852,146,91,237,0.863905325443787,0.494209,4492.1,0.53572,1.08396,19.35863,7.23576,19.35863
MOF_0534,298,60,0.98,0.02,996,134,79,213,0.0346163781968483,0.540649,4829.79,0.44988,0.832089,16.40548,6.2544,14.45084
MOF_0534,298,50,0.9,0.1,996,134,82,216,0.1815718157181571,0.540649,4829.79,0.44988,0.832089,16.40548,6.2544,14.45084
MOF_0534,298,35,0.75,0.25,996,133,82,215,0.540650406504065,0.540649,4829.79,0.44988,0.832089,16.40548,6.2544,14.45084
MOF_0534,298,25,0.65,0.35,996,133,82,215,0.873358348968105,0.540649,4829.79,0.44988,0.832089,16.40548,6.2544,14.45084
MOF_0535,298,60,0.98,0.02,552,20,2,22,0.2040816326530612,1.243374,820.953,0.0457,0.036754,4.66367,3.73123,4.60436
MOF_0535,298,50,0.9,0.1,552,21,2,23,1.1666666666666667,1.243374,820.953,0.0457,0.036754,4.66367,3.73123,4.60436
MOF_0535,298,35,0.75,0.25,552,22,2,24,3.6666666666666665,1.243374,820.953,0.0457,0.036754,4.66367,3.73123,4.60436
MOF_0535,298,25,0.65,0.35,552,22,1,23,11.846153846153843,1.243374,820.953,0.0457,0.036754,4.66367,3.73123,4.60436
MOF_0548,298,60,0.98,0.02,416,27,12,39,0.0459183673469387,1.159463,1767.07,0.12072,0.104114,6.35126,3.89746,6.30302
MOF_0548,298,50,0.9,0.1,416,29,12,41,0.2685185185185185,1.159463,1767.07,0.12072,0.104114,6.35126,3.89746,6.30302
MOF_0548,298,35,0.75,0.25,416,29,12,41,0.8055555555555555,1.159463,1767.07,0.12072,0.104114,6.35126,3.89746,6.30302
MOF_0548,298,25,0.65,0.35,416,29,12,41,1.301282051282051,1.159463,1767.07,0.12072,0.104114,6.35126,3.89746,6.30302
MOF_0552,298,60,0.98,0.02,154,36,8,44,0.0918367346938775,0.908993,2386.48,0.28582,0.314425,9.21355,8.42973,9.21355
MOF_0552,298,50,0.9,0.1,154,39,7,46,0.6190476190476191,0.908993,2386.48,0.28582,0.314425,9.21355,8.42973,9.21355
MOF_0552,298,35,0.75,0.25,154,38,7,45,1.809523809523809,0.908993,2386.48,0.28582,0.314425,9.21355,8.42973,9.21355
MOF_0552,298,25,0.65,0.35,154,38,7,45,2.923076923076923,0.908993,2386.48,0.28582,0.314425,9.21355,8.42973,9.21355
MOF_0566,298,60,0.98,0.02,220,11,2,13,0.1122448979591836,1.295928,781.28,0.03056,0.023581,4.72798,2.52331,4.6
MOF_0566,298,50,0.9,0.1,220,12,2,14,0.6666666666666667,1.295928,781.28,0.03056,0.023581,4.72798,2.52331,4.6
MOF_0566,298,35,0.75,0.25,220,12,2,14,2.0,1.295928,781.28,0.03056,0.023581,4.72798,2.52331,4.6
MOF_0566,298,25,0.65,0.35,220,12,2,14,3.230769230769231,1.295928,781.28,0.03056,0.023581,4.72798,2.52331,4.6
MOF_0569,298,60,0.98,0.02,272,38,16,54,0.048469387755102,0.935691,2765.52,0.2332,0.249215,6.29064,5.28609,5.76518
MOF_0569,298,50,0.9,0.1,272,38,16,54,0.2638888888888889,0.935691,2765.52,0.2332,0.249215,6.29064,5.28609,5.76518
MOF_0569,298,35,0.75,0.25,272,39,16,55,0.8125,0.935691,2765.52,0.2332,0.249215,6.29064,5.28609,5.76518
MOF_0569,298,25,0.65,0.35,272,37,17,54,1.171945701357466,0.935691,2765.52,0.2332,0.249215,6.29064,5.28609,5.76518
MOF_0592,298,60,0.98,0.02,272,38,16,54,0.048469387755102,0.935691,2767.26,0.23368,0.249728,6.30473,5.28591,5.76782
MOF_0592,298,50,0.9,0.1,272,38,16,54,0.2638888888888889,0.935691,2767.26,0.23368,0.249728,6.30473,5.28591,5.76782
MOF_0592,298,35,0.75,0.25,272,39,16,55,0.8125,0.935691,2767.26,0.23368,0.249728,6.30473,5.28591,5.76782
MOF_0592,298,25,0.65,0.35,272,37,17,54,1.171945701357466,0.935691,2767.26,0.23368,0.249728,6.30473,5.28591,5.76782
MOF_0596,298,60,0.98,0.02,464,97,43,140,0.0460370194589463,0.58658,3859.36,0.43976,0.749702,9.97158,8.15381,9.97158
MOF_0596,298,50,0.9,0.1,464,99,42,141,0.2619047619047619,0.58658,3859.36,0.43976,0.749702,9.97158,8.15381,9.97158
MOF_0596,298,35,0.75,0.25,464,101,41,142,0.8211382113821137,0.58658,3859.36,0.43976,0.749702,9.97158,8.15381,9.97158
MOF_0596,298,25,0.65,0.35,464,95,42,137,1.2179487179487178,0.58658,3859.36,0.43976,0.749702,9.97158,8.15381,9.97158
